发布者ID,发布时间,发布来源,发布内容,收藏数,转发数,评论数,点赞数
成都生态环境,05月26日03:28,来自微博视频号, 【#涉事花店否认欺骗买花吊唁网友#：这几天太忙，没时间逐一拍图】多名网友反映，最近通过外卖平台上的一些长沙花店，购买鲜花祭奠袁隆平爷爷，却发现店家将同一束花换上不同卡片，在店内拍照即返图，并未送至祭奠现场，质疑遭到商家欺骗。@中国新闻周刊联系到其中一家涉事花店，花店工作人员回复，近日由于太忙没时间逐一拍照，但都是按照订单排号，一车一车送过去，“配送师傅进去都要排一个小时，没有时间一一拍图，只能拍个全景的，仔细看的话每个卡片都是不一样的。”该店家表示自家花店已经开了十多年，不会做这样的事。#周刊君调查#发现，该花店收录在外卖平台已7年，共169条评价，低分评价13条。#长沙花店被曝欺骗买花吊唁网友#L中国新闻周刊的微博视频  ,0,0,0,1
生活全报道,05月26日01:45,来自iPhone客户端, 【#为袁隆平拍照24年存500多张照片#：袁老喜欢格子条纹衣，拍照也喜欢摆pose】余佳桂因工作原因从1997年起，就与袁隆平接触，24年留下了500多张照片。她说，袁老最喜欢格子、条纹的衣服，每次拍照前都会整理一下摆个pose，态度非常和蔼，没有架子。#与袁隆平的每一张合影都很珍贵#@一手VideoL一手Video的微博视频  ,0,0,0,1
平安洛宁,05月26日01:40,来自微博视频号, 【#长沙数百架无人机点亮禾下乘凉梦#】25日晚上8点，长沙傅家洲升起的520架无人机点亮了湘江两岸，在夜空中缓缓勾画出一幅幅悼念袁老的图画，既有袁隆平院士的音容笑貌，也有禾下乘凉梦的美好构想。一起仰望星空，缅怀袁老！#520架无人机为袁隆平院士画像# #为袁隆平拍照24年存500多张照片#L潇湘晨报的微博视频@洛宁县见义勇为协会  ,0,0,0,1
安康政法,05月26日01:30,来自微博视频号, 【#广州夜空画出袁隆平#】一稻济世，万家粮足！5月25日20:30，广州海心沙广场上空举行无人机编队飞行活动，500架无人机化作稻菽千重浪、田间耕耘人，纪念“杂交水稻之父”袁隆平。#广州500架无人机致敬袁隆平#（广州日报•新花城全媒体记者方晴王燕）@云南政法L广州日报的微博视频​​​​,0,0,1,5
石狮公安,05月26日01:23,来自微博视频号, 【#长沙520架无人机拼图缅怀袁老#】5月25日，湖南长沙，520架无人机在空中用一幅幅彩色画悼念袁隆平院士。静谧的夜空中，无人机拼成杂交水稻的图形，重现袁隆平院士在稻田边工作的场景，画出了袁院士养的猫袁花花向袁老告别的最后一幕。（三湘都市报）L三湘都市报的微博视频#广州夜空画出袁隆平#​#广州500架无人机致敬袁隆平#  ,0,1,1,5
石狮公安,05月26日01:22,来自微博视频号, 【因为有你，广州今晚的夜空飘满了稻花香】29秒视频，#广州500架无人机致敬袁隆平#，让我们一起缅怀那位老人，那位让中国人“端牢饭碗”的英雄！#广州夜空画出袁隆平#（广州日报•新花城全媒体记者方晴王燕）L广州日报的微博视频​#每一缕炊烟都是飘自人间的怀念#​,0,1,0,1
石狮公安,05月26日01:22,来自微博视频号, #市监介入花店欺骗买花吊唁网友#【长沙一花店回应欺骗吊唁袁隆平网民：系误会，市监部门已介入】5月25日，湖南长沙。网络流传长沙某花店欺骗吊唁袁隆平网民，聊天截图显示，该花店收钱后没送花。该花店回应澎湃新闻称，属于误会和造谣，市场监管部门已经介入。#涉事花店否认欺骗买花吊唁网友#（素材来源：网络）O长沙一花店回应欺骗吊唁袁隆平网民：系误会，市监部门已介入L澎湃新闻的微博视频  ,0,0,0,0
石狮公安,05月26日01:13,来自微博视频号, 【#为袁隆平拍照24年存500多张照片#：袁老喜欢格子条纹衣，拍照也喜欢摆pose】余佳桂因工作原因从1997年起，就与袁隆平接触，24年留下了500多张照片。她说，袁老最喜欢格子、条纹的衣服，每次拍照前都会整理一下摆个pose，态度非常和蔼，没有架子。（一手Video）#委员建议将袁隆平逝世日设为全国节约粮食日#L一手Video的微博视频  ,0,0,0,2
石狮公安,05月26日01:06,来自微博视频号, 【今晚#长沙数百架无人机点亮禾下乘凉梦#】25日晚上8点，长沙傅家洲升起的520架无人机点亮了湘江两岸，在夜空中缓缓勾画出一幅幅悼念袁老的图画，既有袁隆平院士的音容笑貌，也有禾下乘凉梦的美好构想。今晚，一起仰望星空，缅怀袁老！#520架无人机为袁隆平院士画像# #为袁隆平拍照24年存500多张照片#2长沙L潇湘晨报的微博视频  ,0,0,0,2
河北共青团,05月26日01:01,来自微博视频号, 5月25日晚，数百架无人机在广州海心沙升空，以一种特殊的方式缅怀袁隆平院士。禾下乘凉梦，丹心映苍穹。（新华网财经）#为袁隆平拍照24年存500多张照片# #广州夜空画出袁隆平#L河北共青团的微博视频​,0,9,2,79
