发布者ID,发布时间,发布来源,发布内容,收藏数,转发数,评论数,点赞数
中国警方在线,05月26日00:59,来自微博视频号, 95后小伙用数万张多米诺扑克牌摆出袁隆平院士头像致敬！#致敬杂交水稻之父#L中国警方在线的微博视频​,0,87,39,1141
包头客运段,05月26日00:46,来自nova65G自拍大不一样, #稻穗状烟花# #呼铁微分享#【为缅怀袁隆平烟花公司设计#稻穗状烟花#】,0,0,0,1
成都生态环境,05月26日00:36,来自微博视频号, 【#广州夜空画出袁隆平#】一稻济世，万家粮足！5月25日20:30，广州海心沙广场上空举行无人机编队飞行活动，500架无人机化作稻菽千重浪、田间耕耘人，纪念“杂交水稻之父”袁隆平。#广州500架无人机致敬袁隆平#L广州日报的微博视频​,0,1,0,9
四川反邪教,05月26日00:27,来自微博视频号, 【#广州夜空画出袁隆平#】一稻济世，万家粮足！5月25日20:30，广州海心沙广场上空举行无人机编队飞行活动，500架无人机化作稻菽千重浪、田间耕耘人，纪念“杂交水稻之父”袁隆平。#广州500架无人机致敬袁隆平#（广州日报）L广州日报的微博视频​,0,0,0,0
玉泉民政,05月26日00:24,来自学习强国客户端, 国际锐评：世界为何刷屏怀念袁隆平O网页链接​,0,0,0,0
聚焦汇川,05月26日00:22,来自微博视频号, 【#为袁隆平拍照24年存500多张照片#：袁老喜欢格子条纹衣，拍照也喜欢摆pose】余佳桂因工作原因从1997年起，就与袁隆平接触，24年留下了500多张照片。她说，袁老最喜欢格子、条纹的衣服，每次拍照前都会整理一下摆个pose，态度非常和蔼，没有架子。#与袁隆平的每一张合影都很珍贵#@一手VideoL一手Video的微博视频  ,0,0,0,0
中企记者调查,05月26日00:20,来自微博weibo.com, 发布了文章《500架无人机致敬！广州夜空画出袁隆平》O500架无人机致敬！广州夜空画出袁隆平​,0,0,0,0
四川反邪教,05月26日00:18,来自微博视频号, 【#为袁隆平拍照24年存500多张照片#：袁老喜欢格子条纹衣，拍照也喜欢摆pose】余佳桂因工作原因从1997年起，就与袁隆平接触，24年留下了500多张照片。她说，袁老最喜欢格子、条纹的衣服，每次拍照前都会整理一下摆个pose，态度非常和蔼，没有架子。#与袁隆平的每一张合影都很珍贵#@一手VideoL一手Video的微博视频  ,0,0,0,0
吉林文摘旬刊,05月26日00:11,来自微博视频号, 【#聋哑男孩跑步作画致敬袁隆平#】来自内蒙古自治区赤峰市一名聋哑男孩吴广明@风之子-跑字王子bo听障，在得知袁隆平院士去世后，以跑步作画方式，跑出一幅10公里袁隆平院士头像，以此寄托哀思。吴广明表示，袁隆平院士积极乐观，自强不息，勇攀高峰的创新精神一直影响着他。@中国新闻网L中新视频的微博视频  ,0,0,0,2
广州市场监管,05月26日00:08,来自iPhone客户端, 【#广州夜空画出袁隆平#】一稻济世，万家粮足！5月25日20:30，广州海心沙广场上空举行无人机编队飞行活动，500架无人机化作稻菽千重浪、田间耕耘人，纪念“杂交水稻之父”袁隆平。#广州500架无人机致敬袁隆平#@广州日报L广州日报的微博视频​​​​,0,2,0,2
和布克赛尔县司法行政,05月26日00:07,来自OPPOR15梦镜版, 【袁隆平爷爷，您心心念念的海水稻又在沙漠旁插秧啦！】,0,0,0,0
泸州交通广播,05月26日00:05,来自iPhone客户端, 【#为袁隆平拍照24年存500多张照片#：袁老喜欢格子条纹衣，拍照也喜欢摆pose】余佳桂因工作原因从1997年起，就与袁隆平接触，24年留下了500多张照片。她说，袁老最喜欢格子、条纹的衣服，每次拍照前都会整理一下摆个pose，态度非常和蔼，没有架子。#与袁隆平的每一张合影都很珍贵#@一手VideoL一手Video的微博视频2泸州  ,0,0,0,0
宁局南昆货运中心,05月26日00:04,来自微博weibo.com, 【#聋哑小伙跑步画出袁隆平头像#：袁隆平爷爷一路走好】,0,1,2,2
陕西宝鸡消防,05月26日00:04,来自HUAWEIP405G, //@陕西消防:禾下乘凉梦，仓满无饥恐。他用毕生心血，浇灌稻田飘香。今天，发条微博，再送袁老一程！粒粒皆辛苦，后辈不敢忘！#袁隆平遗体送别仪式#​,0,0,0,0
宁局南昆货运中心,05月26日00:02,来自微博weibo.com, 【#为袁隆平拍照24年存500多张照片#：袁老喜欢格子条纹衣，拍照也喜欢摆pose】,0,0,1,3
36氪,05月26日00:00,来自微博weibo.com, 【氪星播报|5月25晚间都有哪些#今日大事件#？】￼Top3大新闻1、#为袁隆平拍照24年存500多张照片#：袁老喜欢格子条纹衣2、#小区电梯突然加速撞顶楼致1死#，官方：初步判断是电梯制动器故障3、#台北市长称8成新冠确诊者不用住院#，可以吃药扛过去￼科技财经互联网热点1、#LV老板重返世界首富#，随后被贝佐斯超越2、#特斯拉已在中国建立数据中心#，已实现数据存储本地化3、2021年度小米校招生集中培训：#雷军希望小米出现30岁高管#4、#马斯克称选择狗狗币因为有狗和表情包#，而其他加密货币没有5、理想汽车推出#2021款理想one#，售价33.8万元6、#贝壳辟谣被反垄断调查#，贝壳找房：假消息￼还有哪些其他要闻1、#甘肃马拉松遇难者家属获赔95万#，含50万保险，部分家属拒签协议2、#男子冒充美女主播骗打赏超1000万#，诱骗被害人网上刷礼物打赏3、#贵州省武术协会否认起诉香奈儿#：对此并不知情，也没有起诉过香奈儿4、#南京今后不再审批建别墅#，明确严禁审批独栋、双拼和联排户型5、#涉事花店否认欺骗买花吊唁网友#：这几天太忙，没时间逐一拍图6、#冯小刚已向华谊支付1.68亿业绩补偿#，以现金的方式按期支付7、#印度数百人冲出火车站逃避新冠检测#，大多是移民工人8、#美国人将蝉做成巧克力#9、#夫妻拒养听障儿被判不许离婚#10、#女孩247天拍摄56个民族服饰#  ,0,1,3,31
华阴检察,05月26日07:57,来自iPhone客户端, #法治ing#①摄影师#为袁隆平拍照24年存500多张照片#；②官方回应广东湛江一#小区电梯突然加速撞顶楼致1死#：初步判断系电梯制动器故障；③#安徽一工地发生溺水事故4人死亡#，系污水管道爆裂导致；④#男子冒充美女主播骗打赏超1000万#……在昨天的#世界女排联赛#上，#中国女排战胜韩国女排#，这场比赛你看了吗？  ,0,0,1,0
石家庄市禁毒委员会办公室,05月26日07:57,来自微博视频号, 袁隆平领衔，农学天团Q版出道，你不来康康？（新华网）#以袁隆平Q版形象为主角的科普动画片#L河北共青团的微博视频​,0,1,6,3
中新图片,05月26日07:57,来自微博weibo.com, #长沙520架无人机点亮夜空缅怀袁隆平#5月25日，湖南长沙，520架无人机在空中用一幅幅彩色画悼念袁隆平院士。#袁隆平逝世#中新社记者杨华峰摄​,0,0,0,3
无锡发布,05月26日07:57,来自微博视频号, 这是一部#以袁隆平Q版形象为主角的科普动画片#非常值得一看！向所有科研工作者致敬！！L当时我就震惊了的微博视频​,0,8,1,16
眉山天府新区,05月26日07:57,来自微博视频号, 【#袁隆平养猫的原因#：怕老鼠偷吃他试验田里的粮食】5月22日，袁隆平院士逝世。宠物店店主胡磊分享了袁老和袁花花的初见视频。据胡先生介绍，袁爷爷养猫除了喜欢，还有一个原因，就是怕老鼠偷吃他住所外试验田里的粮食。胡先生称，袁花花经常跑到袁老腿上，为他按摩。现在，袁花花已经一岁3个月了，是一只成年猫，并且在近期完成了绝育，目前状态良好。“希望花花能够继续守护袁老的水稻。”L四度视频的微博视频  ,0,3,4,23
共青团广安市委,05月26日07:56,来自微博视频号, 【#为袁隆平拍照24年存500多张照片#：袁老喜欢格子条纹衣，拍照也喜欢摆pose】余佳桂因工作原因从1997年起，就与袁隆平接触，24年留下了500多张照片。她说，袁老最喜欢格子、条纹的衣服，每次拍照前都会整理一下摆个pose，态度非常和蔼，没有架子。#与袁隆平的每一张合影都很珍贵#L一手Video的微博视频#以袁隆平Q版形象为主角的科普动画片#  ,0,14,2,116
眉山天府新区,05月26日07:56,来自微博视频号, #520架无人机点亮夜空缅怀袁老#【泪崩！长沙520架公益无人机点亮夜空，缅怀袁隆平院士】5月25日，湖南长沙，520架无人机在傅家洲起飞，在空中用一幅幅彩色画悼念袁隆平院士。夜空中的无人机拼成杂交水稻的图形，重现袁隆平院士在稻田边工作的场景，画出了袁院士养的猫袁花花向袁老告别的最后一幕。L长沙政法频道的微博视频  ,0,0,1,0
周至法院,05月26日07:56,来自微博视频号, 我发布了：缅怀袁隆平爷爷#珍惜粮食拒绝浪费# #快手#@快手L周至法院的快手视频​,0,0,1,0
山东卫视,05月26日07:55,来自微博视频号, 【#广州夜空画出袁隆平#】一稻济世，万家粮足！5月25日20:30，广州海心沙广场上空举行无人机编队飞行活动，500架无人机化作稻菽千重浪、田间耕耘人，纪念“杂交水稻之父”袁隆平。#广州500架无人机致敬袁隆平#（广州日报）L广州日报的微博视频​,0,1,0,31
眉山天府新区,05月26日07:54,来自微博视频号, 【#涉事花店否认欺骗买花吊唁网友#：这几天太忙，没时间逐一拍图】多名网友反映，最近通过外卖平台上的一些长沙花店，购买鲜花祭奠袁隆平爷爷，却发现店家将同一束花换上不同卡片，在店内拍照即返图，并未送至祭奠现场，质疑遭到商家欺骗。@中国新闻周刊联系到其中一家涉事花店，花店工作人员回复，近日由于太忙没时间逐一拍照，但都是按照订单排号，一车一车送过去，“配送师傅进去都要排一个小时，没有时间一一拍图，只能拍个全景的，仔细看的话每个卡片都是不一样的。”该店家表示自家花店已经开了十多年，不会做这样的事。#周刊君调查#发现，该花店收录在外卖平台已7年，共169条评价，低分评价13条。#长沙花店被曝欺骗买花吊唁网友#L中国新闻周刊的微博视频  ,0,0,0,0
齐鲁晚报,05月26日07:54,来自微博视频号, 【#昨夜今晨#大家都在看啥议啥】1、#为袁隆平拍照24年存500多张照片#余佳桂因工作原因从1997年起，就与袁隆平接触，24年留下了500多张照片。她说，袁老最喜欢格子、条纹的衣服，每次拍照前都会整理一下摆个pose，态度非常和蔼，没有架子。#与袁隆平的每一张合影都很珍贵#L一手Video的微博视频via.@一手Video2、2021世界女排联赛#中国女排首战告捷#2021世界排球联赛，#中国女排3比1胜韩国女排#。为姑娘们点赞，为@中国女排加油！#中国女排韩国女排#​3、#小区电梯突然加速撞顶楼致1死#5月23日，广东湛江。网曝金海湾二期小区发生电梯事故，电梯从1楼加速撞向30层顶楼致1人身亡。知情人称，当晚19时39分，乘客进入客梯后被困在一楼至负一楼之间，乘客向亲友电话求助后维修人员赶到现场，在救援过程中电梯突然冲顶造成乘客身亡。25日湛江市市场监督管理局通报称，经初步判断，事发时是电梯制动器故障。目前已成立调查小组，事故详细原因正在进一步调查中。4、#广东新增3例本土无症状#5月25日0-24时，广东省新增本土确诊病例1例，广州报告。新增本土无症状感染者3例，深圳报告2例，茂名报告1例。新增出院3例。#广东新增1例本土确诊#5、#男子冒充美女主播骗打赏超1000万#玩游戏、看直播越来越受到年轻人喜爱，然而一些不法分子却冒充美女主播，以恋爱交友的幌子诱骗被害人网上刷礼物打赏，以此牟利。近日，上海宝山警方就破获一起特大网络直播诈骗团伙，抓获236名犯罪嫌疑人，目前涉案金额已超过1000多万，其中绝大部分负责聊天的都是男性。专案组在调查中发现，这个犯罪团伙不仅有丰富的话术对网络主播和男性操盘手进行培训和分工，还会精心挑选诈骗对象，特别是那些涉世未深，没有太多社会经验的在校学生，会不断洗脑进而达到诈骗钱财的目的。6、#黑暗中看手机对眼睛伤害有多大#专家介绍，黑暗中看手机比在亮光下对眼睛刺激更大。黑暗中明暗交替更明显，易加重眼睛负担，引起视力疲劳、干眼症等。手机夜间模式虽然能减少明亮差异、减轻频闪，但#手机夜间模式仍对眼睛有损伤#。建议：夜晚看手机时应打开背景灯。7、#山东新闻# #山东发布强对流天气预报#25日16时45分，山东省气象台发布强对流天气预报。预计明天下午到夜间，我省自西向东将有一次强对流天气，鲁西北、鲁中、鲁东南和半岛地区及渤海、渤海海峡、黄海北部和中部有雷雨或阵雨，伴有雷电和局部冰雹，雷雨时阵风8～10级局部11级以上。建议提前做好防风、防雷电及防冰雹等工作。  ,0,2,0,11
中新图片,05月26日07:53,来自微博weibo.com, #广州夜空画出袁隆平#5月25日晚，“纪念袁隆平院士”无人机编队飞行活动在广东省广州市海心沙广场上空举行。图为无人机编队组成袁隆平院士样貌的图案。中新社记者陈骥旻摄​,0,0,0,0
青岛市文化和旅游局,05月26日07:52,来自微博视频号, #以袁隆平Q版形象为主角的科普动画片#这是一部以袁隆平爷爷Q版形象为主角的科普动画片非常值得一看！向所有科研工作者致敬！！via：@新华网L当时我就震惊了的微博视频​,0,5,9,11
华阴检察,05月26日07:52,来自iPhone客户端, 【#广州夜空画出袁隆平#】#秦小布分享#一稻济世，万家粮足！5月25日20:30，广州海心沙广场上空举行无人机编队飞行活动，500架无人机化作稻菽千重浪、田间耕耘人，纪念“杂交水稻之父”袁隆平。#广州500架无人机致敬袁隆平#L广州日报的微博视频​​​,0,0,2,0
建德检察,05月26日07:52,来自微博视频号, 【#长沙花店被曝欺骗买花吊唁网友#】近日，有网友爆料，很多人在美团长沙花店给袁隆平爷爷买花，结果都被骗了。原来花店将同一束花换上不同人的卡片，拍个照片就说送到了，但鲜花都没有送到殡仪馆去。有不少顾客称，没有骑手接单，没有骑手路线，就告诉说送到了，有的顾客甚至连鲜花照片都没收到。L铁骥视频的微博视频2杭州·红枫花园  ,0,2,10,7
云南旅游广播,05月26日07:52,来自iPhone客户端, 【#为袁隆平拍照24年存500多张照片#：袁老喜欢格子条纹衣，拍照也喜欢摆pose】余佳桂因工作原因从1997年起，就与袁隆平接触，24年留下了500多张照片。她说，袁老最喜欢格子、条纹的衣服，每次拍照前都会整理一下摆个pose，态度非常和蔼，没有架子。L一手Video的微博视频​​​,0,0,0,0
河北共青团,05月26日07:51,来自微博视频号, 袁隆平领衔，农学天团Q版出道，你不来康康？（新华网）#以袁隆平Q版形象为主角的科普动画片#L河北共青团的微博视频​,0,7,3,19
株洲发布,05月26日07:51,来自微博视频号, 【#为袁隆平拍照24年存500多张照片#：袁老喜欢格子条纹衣，拍照也喜欢摆pose】余佳桂因工作原因从1997年起，就与袁隆平接触，24年留下了500多张照片。她说，袁老最喜欢格子、条纹的衣服，每次拍照前都会整理一下摆个pose，态度非常和蔼，没有架子。#与袁隆平的每一张合影都很珍贵#@一手VideoL一手Video的微博视频  ,0,0,0,2
上海普陀,05月26日07:50,来自微博视频号, 这是一部#以袁隆平q版形象为主角的科普动画片#，缅怀袁爷爷，向所有科研工作者致敬！！（新华网）L上海普陀的微博视频​,0,6,2,12
河南新闻广播,05月26日07:49,来自微博视频号, 【今晨昨夜热点资讯】#官方回应击毙外逃老虎原因#，#老虎外逃涉事园区停业整顿#25日，河南南阳淅川县发生一起饲养员喂养老虎时被咬伤、两只老虎跑出铁笼的突发事件。据介绍，淅川县紧急请求麻醉枪支援过程中，老虎表现出明显攻击人的倾向，对抓捕人员人身安全造成严重威胁。加之下雨能见度很低，一旦老虎跑进附近山林，将大大增加抓捕难度，还有可能对居民区及县城人民群众生命安全造成威胁，经请示批准后决定击毙老虎。O河南淅川县林业局：两只外逃老虎已击毙涉事园区已停业整顿L沸点视频的微博视频#全国哪里能看到超级红月亮#？收好#超级红月亮最佳观赏攻略#26日，“月全食”与“超级月亮”叠加形成的“超级红月亮”将在夜空上演。专家介绍，从19点09分食既，到19点28分生光，这时月亮将呈现神秘而优雅的古铜色，20点53分月面将会完全走出地影。天气预报显示，明天我国新疆北部、甘肃河西地区、内蒙古西部、宁夏、陕西北部等地天气比较利于赏月；包括山西和京津冀在内的华北地区天气条件也属于较为适合，但阵雨天气可能会影响观赏；而江汉东部、江淮、江南中北部、贵州南部等地的部分地区以及东北地区将出现阴雨天气，观赏难度较大。（中国气象局）L人民日报的微博视频#为袁隆平拍照24年存500多张照片#：袁老喜欢格子条纹衣，拍照也喜欢摆pose余佳桂因工作原因从1997年起，就与袁隆平接触，24年留下了500多张照片。她说，袁老最喜欢格子、条纹的衣服，每次拍照前都会整理一下摆个pose，态度非常和蔼，没有架子。#与袁隆平的每一张合影都很珍贵#@一手VideoL一手Video的微博视频心怀感恩！#送别医者仁心吴孟超#他用不竭的爱照亮受苦的灵魂，争分夺秒散发光与热，用毕生精力诠释何为医者仁心。今天，#吴孟超遗体告别#仪式举行。发条微博，再送吴老一程！​#LV老板重返世界首富#，阿诺特身价1863亿美元5月24日，据福布斯报道，法国时尚大亨、LVMH首席执行官伯纳德.阿诺特一度超越杰夫贝佐斯成为世界首富，5月25日再次被贝佐斯反超，现在位居第二，身价1873亿美元。2019年12月16日阿诺特首次超越贝佐斯成为世界首富。L老板联播的微博视频​#广东新增1例本土确诊# #广东新增3例本土无症状#5月25日0-24时，广东省新增本土确诊病例1例，广州报告。新增本土无症状感染者3例，深圳报告2例，茂名报告1例。新增出院3例。O网页链接​  ,0,2,0,21
东北新闻网,05月26日07:49,来自iPhone客户端, 【#广州夜空画出袁隆平#】一稻济世，万家粮足！5月25日20:30，广州海心沙广场上空举行无人机编队飞行活动，500架无人机化作稻菽千重浪、田间耕耘人，纪念“杂交水稻之父”袁隆平。#广州500架无人机致敬袁隆平#L广州日报的微博视频​,0,0,0,1
科技日报,05月26日07:48,来自微博视频号, #以袁隆平Q版形象为主角的科普动画片#这是一部以袁隆平爷爷形象为主角的科普动画片，非常值得一看，致敬所有为国家做出贡献的院士们！#缅怀袁隆平# #袁爷爷一路走好#@新华网L新华网的微博视频​,0,32,5,75
铁力市检察,05月26日07:46,来自微博视频号, 【#禾下乘凉梦我们接续努力#】“以后吃饭绝对不浪费粮食，好好搞科研，你要相信我，我会做到的。”九江、南京、重庆、长沙，在袁隆平故乡，在袁老曾经求学、生活、工作的地方，他们有话想对袁隆平说↓↓接过接力棒，“努力做一颗向上的小种子”。L人民日报的微博视频​​​​,0,1,5,5
上海奉贤发布,05月26日07:45,来自微博视频号, 【#为袁隆平拍照24年存500多张照片#：袁老喜欢格子条纹衣，拍照也喜欢摆pose】余佳桂因工作原因从1997年起，就与袁隆平接触，24年留下了500多张照片。她说，袁老最喜欢格子、条纹的衣服，每次拍照前都会整理一下摆个pose，态度非常和蔼，没有架子。#与袁隆平的每一张合影都很珍贵#L一手Video的微博视频  ,0,6,0,3
新浪军事,05月26日07:45,来自微博视频号, “一稻济天下！”广东广州，500架无人机在夜空中致敬袁隆平！#广州夜空画出袁隆平# #为袁隆平拍照24年存500多张照片#（广州日报）L广东共青团的微博视频​,0,53,9,518
铁力市检察,05月26日07:45,来自微博视频号, #用稻香唱出对袁隆平爷爷的思念#[水稻]“我好想你在田间歇着身子，禾下乘凉渐渐遮去影子，微微笑，拾起一粒希望的种子……我好想把未来活成那粒种子，健康康康长成颗好苗子，稻穗响，就是在念你名字……”我们想您@云村大神L云村大神的微博视频​​​,0,0,2,0
杭州检察,05月26日07:44,来自Android, 【#广州夜空画出袁隆平#】一稻济世，万家粮足！5月25日20:30，广州海心沙广场上空举行无人机编队飞行活动，500架无人机化作稻菽千重浪、田间耕耘人，纪念“杂交水稻之父”袁隆平。#广州500架无人机致敬袁隆平#（广州日报•新花城全媒体记者方晴王燕）L广州日报的微博视频​​​​,0,0,2,2
河南鹤壁平安鹤山,05月26日07:43,来自微博视频号, 【一条大河波浪宽，#风吹稻花香两岸#】据报道，#袁隆平院士去世时是安详的#，家人们陪在他身边唱着《红梅花儿开》《我和我的祖国》等袁老喜欢的歌曲，送他离去。今夜，转发这首歌，点亮悼念小白花，一起送别袁老！L人民日报的微博视频​​​,0,0,0,6
sina菏泽旅游,05月26日07:43,来自微博视频号, 【#广州夜空画出袁隆平#】一稻济世，万家粮足！5月25日20:30，广州海心沙广场上空举行无人机编队飞行活动，500架无人机化作稻菽千重浪、田间耕耘人，纪念“杂交水稻之父”袁隆平。#广州500架无人机致敬袁隆平#（广州日报•新花城全媒体记者方晴王燕）L广州日报的微博视频​,0,0,0,1
长安铜陵,05月26日07:42,来自微博视频号, 以袁隆平Q版形象为主角的科普动画片你不知道的袁隆平的故事。L河南好网民的微博视频​​​,0,82,7,499
青岛市市北区财政局,05月26日07:42,来自学习强国客户端, 这种力量，生生不息——送别袁隆平先生虽然今后无法再看到这位一生为民谋稻粱的耕耘者，但他播在每个人心头的种子，化作千千万万个“他”，蕴含了生生不息的力量。O网页链接​,0,0,0,0
临沂临港发布,05月26日07:42,来自微博视频号, 【#为袁隆平拍照24年存500多张照片#：袁老喜欢格子条纹衣，拍照也喜欢摆pose】余佳桂因工作原因从1997年起，就与袁隆平接触，24年留下了500多张照片。她说，袁老最喜欢格子、条纹的衣服，每次拍照前都会整理一下摆个pose，态度非常和蔼，没有架子。#与袁隆平的每一张合影都很珍贵#@一手VideoL一手Video的微博视频  ,0,1,0,13
铁力市检察,05月26日07:40,来自微博视频号, 【#为缅怀袁隆平烟花公司设计稻穗状烟花#公司负责人：一束稻穗千里援思】5月24日，一束#稻穗状烟花#绽放在空中。为了纪念隆平院士，浏阳一家烟花公司专门设计了稻穗状日景烟花，该公司负责人表示，“一束稻穗，千里援思，为缅怀袁爷爷设计的”。@新京报我们视频L新京报我们视频的微博视频​​​,0,0,0,0
兰州西固检察,05月26日07:39,来自HUAWEIMate30Pro5G, #法治ing#①摄影师#为袁隆平拍照24年存500多张照片#；②官方回应广东湛江一#小区电梯突然加速撞顶楼致1死#：初步判断系电梯制动器故障；③#安徽一工地发生溺水事故4人死亡#，系污水管道爆裂导致；④#男子冒充美女主播骗打赏超1000万#……在昨天的#世界女排联赛#上，#中国女排战胜韩国女排#，这场比赛你看了吗？  ,0,0,0,2
安康政法,05月26日07:39,来自微博视频号, “一稻济天下！”广东广州，500架无人机在夜空中致敬袁隆平！#广州夜空画出袁隆平# #为袁隆平拍照24年存500多张照片#（via;广州日报@广州共青团）L安康政法的微博视频​,0,1,1,6
西部网,05月26日07:38,来自微博视频号, 【#为袁隆平拍照24年存500多张照片#：袁老喜欢格子条纹衣，拍照也喜欢摆pose】余佳桂因工作原因从1997年起，就与袁隆平接触，24年留下了500多张照片。她说，袁老最喜欢格子、条纹的衣服，每次拍照前都会整理一下摆个pose，态度非常和蔼，没有架子。#与袁隆平的每一张合影都很珍贵#@一手VideoL一手Video的微博视频  ,0,0,0,5
嘉荫检察,05月26日07:38,来自OPPO智能手机, 【十年之约——纪念袁隆平院士】2021年5月22日13时07分，“杂交水稻之父”、“共和国勋章”获得者、中国工程院院士袁隆平因病医治无效，在长沙与世长辞，享年91岁。袁隆平院士长期关注支持国家知识产权保护事业，是最高人民法院首批特邀科学技术咨询专家。在最高人民法院审理的一系列具有影响力的植物新品种案件中，他多次提供技术咨询意见，早在2008年最高人民法院首起涉植物新品种案件——“两优培九”杂交水稻品种权合同纠纷案中，就有效协助法院促成当事人达成和解。作者最高人民法院知识产权法庭法官、审判长罗霞在文章中回忆了与袁老的过往。O十年之约——纪念袁隆平院士2伊春·嘉荫县  ,0,0,0,1
BOOM视频,05月26日07:35,来自微博视频号, 【#为袁隆平拍照24年存500多张照片#：袁老喜欢格子条纹衣，拍照也喜欢摆pose】余佳桂因工作原因从1997年起，就与袁隆平接触，24年留下了500多张照片。她说，袁老最喜欢格子、条纹的衣服，每次拍照前都会整理一下摆个pose，态度非常和蔼，没有架子。#与袁隆平的每一张合影都很珍贵#@一手VideoL一手Video的微博视频  ,0,0,0,1
