发布者ID,发布时间,发布来源,发布内容,收藏数,转发数,评论数,点赞数
锡林郭勒盟团委,06月19日12:00,来自微博视频号, 【重温！#袁隆平讲禾下乘凉梦的珍贵影像#】这是袁老做过的两个幸福的梦。他的愿望非常朴实：“想培育出高产量品种，为提高粮食产量做一点贡献”↓↓缅怀！致敬！#中国人的故事# #袁隆平有哪些成就#(湖北日报)L中国共青团网的微博视频​​​,0,0,0,1
抚顺妇女,06月19日19:53,来自微博视频号, 【重温，泪流满面#袁隆平讲禾下乘凉梦的珍贵影像#】“我梦见水稻长得比高粱还高，穗子比扫帚还长，我和同事坐在稻穗下乘凉”“我梦见穗子沉甸甸的，子粒接近花生米那么大”……这是袁老做过的两个幸福的梦。他的愿望非常朴实：“想培育出高产量品种，为提高粮食产量做一点贡献”↓↓缅怀！致敬！L央视新闻的微博视频  ,0,0,0,0
宜宾发布,06月19日19:50,来自微博视频号, 【重温，泪流满面#袁隆平讲禾下乘凉梦的珍贵影像#】“我梦见水稻长得比高粱还高，穗子比扫帚还长，我和同事坐在稻穗下乘凉”“我梦见穗子沉甸甸的，子粒接近花生米那么大”……这是袁老做过的两个幸福的梦。他的愿望非常朴实：“想培育出高产量品种，为提高粮食产量做一点贡献”↓↓缅怀！致敬！#专题片敢教日月换新天#L央视新闻的微博视频  ,0,0,0,1
武汉发布,06月19日19:30,来自微博视频号, 【重温，泪流满面#袁隆平讲禾下乘凉梦的珍贵影像#】“我梦见水稻长得比高粱还高，穗子比扫帚还长，我和同事坐在稻穗下乘凉”“我梦见穗子沉甸甸的，子粒接近花生米那么大”……这是袁老做过的两个幸福的梦。他的愿望非常朴实：“想培育出高产量品种，为提高粮食产量做一点贡献”↓↓缅怀！致敬！L央视新闻的微博视频  ,0,4,0,3
桂林火车站,06月19日19:26,来自微博视频号, 【重温，泪流满面#袁隆平讲禾下乘凉梦的珍贵影像#】“我梦见水稻长得比高粱还高，穗子比扫帚还长，我和同事坐在稻穗下乘凉”“我梦见穗子沉甸甸的，子粒接近花生米那么大”……这是袁老做过的两个幸福的梦。他的愿望非常朴实：“想培育出高产量品种，为提高粮食产量做一点贡献”↓↓缅怀！致敬！#专题片敢教日月换新天#L央视新闻的微博视频  ,0,0,1,1
抚州临川发布,06月19日19:10,来自微博视频号, 【重温，泪流满面#袁隆平讲禾下乘凉梦的珍贵影像#】“我梦见水稻长得比高粱还高，穗子比扫帚还长，我和同事坐在稻穗下乘凉”“我梦见穗子沉甸甸的，子粒接近花生米那么大”……这是袁老做过的两个幸福的梦。他的愿望非常朴实：“想培育出高产量品种，为提高粮食产量做一点贡献”↓↓缅怀！致敬！#专题片敢教日月换新天#L央视新闻的微博视频  ,0,0,0,0
贵溪发布,06月19日19:09,来自iPhone客户端, 【重温，泪流满面#袁隆平讲禾下乘凉梦的珍贵影像#】“我梦见水稻长得比高粱还高，穗子比扫帚还长，我和同事坐在稻穗下乘凉”“我梦见穗子沉甸甸的，子粒接近花生米那么大”……这是袁老做过的两个幸福的梦。他的愿望非常朴实：“想培育出高产量品种，为提高粮食产量做一点贡献”↓↓缅怀！致敬！#专题片敢教日月换新天#L央视新闻的微博视频  ,0,0,0,0
北京文艺广播,06月19日19:08,来自iPhone客户端, 【重温，泪流满面#袁隆平讲禾下乘凉梦的珍贵影像#】“我梦见水稻长得比高粱还高，穗子比扫帚还长，我和同事坐在稻穗下乘凉”“我梦见穗子沉甸甸的，子粒接近花生米那么大”……这是袁老做过的两个幸福的梦。他的愿望非常朴实：“想培育出高产量品种，为提高粮食产量做一点贡献”↓↓缅怀！致敬！#专题片敢教日月换新天#L央视新闻的微博视频  ,0,1,1,2
福从西来,06月19日19:00,来自微博视频号, 【重温，泪流满面#袁隆平讲禾下乘凉梦的珍贵影像#】“我梦见水稻长得比高粱还高，穗子比扫帚还长，我和同事坐在稻穗下乘凉”“我梦见穗子沉甸甸的，籽粒接近花生米那么大”……这是袁老做过的两个幸福的梦。他的愿望非常朴实：“想培育出高产量品种，为提高粮食产量做一点贡献”↓↓缅怀！致敬！#专题片敢教日月换新天#L央视新闻的微博视频  ,0,0,0,0
绥阳人民检察,06月19日18:53,来自iPhoneXSMax, 【重温，泪流满面#袁隆平讲禾下乘凉梦的珍贵影像#】“我梦见水稻长得比高粱还高，穗子比扫帚还长，我和同事坐在稻穗下乘凉”“我梦见穗子沉甸甸的，子粒接近花生米那么大”……这是袁老做过的两个幸福的梦。他的愿望非常朴实：“想培育出高产量品种，为提高粮食产量做一点贡献”↓↓缅怀！致敬！,0,6,6,8
花山检察,06月19日18:24,来自微博视频号, 【重温，泪流满面#袁隆平讲禾下乘凉梦的珍贵影像#】“我梦见水稻长得比高粱还高，穗子比扫帚还长，我和同事坐在稻穗下乘凉”“我梦见穗子沉甸甸的，子粒接近花生米那么大”……这是袁老做过的两个幸福的梦。他的愿望非常朴实：“想培育出高产量品种，为提高粮食产量做一点贡献”↓↓缅怀！致敬！#专题片敢教日月换新天#L央视新闻的微博视频  ,0,2,1,1
三亚发布,06月19日18:20,来自微博视频号, 【重温，泪流满面#袁隆平讲禾下乘凉梦的珍贵影像#】“我梦见水稻长得比高粱还高，穗子比扫帚还长，我和同事坐在稻穗下乘凉”“我梦见穗子沉甸甸的，子粒接近花生米那么大”……这是袁老做过的两个幸福的梦。他的愿望非常朴实：“想培育出高产量品种，为提高粮食产量做一点贡献”↓↓缅怀！致敬！L央视新闻的微博视频  ,0,0,0,0
西青检察官,06月19日18:05,来自微博视频号, 【重温，泪流满面#袁隆平讲禾下乘凉梦的珍贵影像#】“我梦见水稻长得比高粱还高，穗子比扫帚还长，我和同事坐在稻穗下乘凉”“我梦见穗子沉甸甸的，子粒接近花生米那么大”……这是袁老做过的两个幸福的梦。他的愿望非常朴实：“想培育出高产量品种，为提高粮食产量做一点贡献”↓↓缅怀！致敬！L央视新闻的微博视频  ,0,0,1,1
大荔检察,06月19日18:02,来自iPhone客户端, #袁隆平讲禾下乘凉梦的珍贵影像#,0,0,1,0
长治政法,06月19日17:42,来自iPhone客户端, #袁隆平讲禾下乘凉梦的珍贵影像#,0,1,1,0
淮北开发区分局在线,06月19日17:25,来自微博weibo.com, 【重温，泪流满面#袁隆平讲禾下乘凉梦的珍贵影像#】,0,0,1,0
南阳政法,06月19日17:02,来自微博视频号, #我承诺不浪费粮食#【重温，泪流满面#袁隆平讲禾下乘凉梦的珍贵影像#】“我梦见水稻长得比高粱还高，穗子比扫帚还长，我和同事坐在稻穗下乘凉”“我梦见穗子沉甸甸的，子粒接近花生米那么大”……这是袁老做过的两个幸福的梦。他的愿望非常朴实：“想培育出高产量品种，为提高粮食产量做一点贡献”↓↓缅怀！致敬！#专题片敢教日月换新天#L南阳政法的微博视频  ,0,1,2,4
中国青年报,06月19日17:00,来自微博视频号, #风吹过稻田我就想起你#【重温，泪流满面#袁隆平讲禾下乘凉梦的珍贵影像#】“我梦见水稻长得比高粱还高，穗子比扫帚还长，我和同事坐在稻穗下乘凉”“我梦见穗子沉甸甸的，子粒接近花生米那么大”……这是袁老做过的两个幸福的梦。他的愿望非常朴实：“想培育出高产量品种，为提高粮食产量做一点贡献”↓↓缅怀！致敬！#专题片敢教日月换新天#L央视新闻的微博视频  ,0,19,3,189
长安铜陵,06月19日16:49,来自荣耀8美得与众不同, #袁隆平讲禾下乘凉梦的珍贵影像#,0,0,2,1
北京发布,06月19日16:40,来自微博视频号, 【重温，泪流满面#袁隆平讲禾下乘凉梦的珍贵影像#】“我梦见水稻长得比高粱还高，穗子比扫帚还长，我和同事坐在稻穗下乘凉”“我梦见穗子沉甸甸的，子粒接近花生米那么大”……这是袁老做过的两个幸福的梦。他的愿望非常朴实：“想培育出高产量品种，为提高粮食产量做一点贡献”↓↓缅怀！致敬！#专题片敢教日月换新天#L央视新闻的微博视频  ,0,5,1,11
湖北新闻,06月19日16:39,来自微博视频号, 【重温！泪目#袁隆平讲禾下乘凉梦的珍贵影像#】“我梦见水稻长得比高粱还高，穗子比扫帚还长，我和同事坐在稻穗下乘凉”“我梦见穗子沉甸甸的，子粒接近花生米那么大”……这是袁老做过的两个幸福的梦。他的愿望非常朴实：“想培育出高产量品种，为提高粮食产量做一点贡献”↓↓缅怀！致敬！L央视网的微博视频  ,0,0,1,0
甘肃发布,06月19日16:37,来自微博视频号, 【重温，泪流满面#袁隆平讲禾下乘凉梦的珍贵影像#】“我梦见水稻长得比高粱还高，穗子比扫帚还长，我和同事坐在稻穗下乘凉”“我梦见穗子沉甸甸的，子粒接近花生米那么大”……这是袁老做过的两个幸福的梦。他的愿望非常朴实：“想培育出高产量品种，为提高粮食产量做一点贡献”↓↓缅怀！致敬！（来源：央视新闻）L央视新闻的微博视频  ,0,1,0,2
临汾政法,06月19日16:33,来自微博weibo.com, 【重温，泪流满面#袁隆平讲禾下乘凉梦的珍贵影像#】,0,0,0,1
南铁福州车务段,06月19日16:30,来自微博视频号, #福车微视角#【重温，泪流满面#袁隆平讲禾下乘凉梦的珍贵影像#】“我梦见水稻长得比高粱还高，穗子比扫帚还长，我和同事坐在稻穗下乘凉”“我梦见穗子沉甸甸的，子粒接近花生米那么大”……这是袁老做过的两个幸福的梦。他的愿望非常朴实：“想培育出高产量品种，为提高粮食产量做一点贡献”↓↓缅怀！致敬！#专题片敢教日月换新天#L央视新闻的微博视频  ,0,3,4,1
平安银川,06月19日16:23,来自微博weibo.com, 【重温，泪流满面#袁隆平讲禾下乘凉梦的珍贵影像#】“我梦见水稻长得比高粱还高，穗子比扫帚还长，我和同事坐在稻穗下乘凉”“我梦见穗子沉甸甸的，子粒接近花生米那么大”……这是袁老做过的两个幸福的梦。他的愿望非常朴实：“想培育出高产量品种，为提高粮食产量做一点贡献”↓↓缅怀！致敬！,0,0,1,0
魅力皋兰,06月19日16:19,来自360安全浏览器, 【重温，泪流满面#袁隆平讲禾下乘凉梦的珍贵影像#】,0,0,1,0
陕西宝鸡中院,06月19日16:17,来自iPhone11, 【重温，泪流满面#袁隆平讲禾下乘凉梦的珍贵影像#】,0,0,0,0
安康环境,06月19日16:06,来自微博视频号, #秦小布分享#【重温，泪流满面#袁隆平讲禾下乘凉梦的珍贵影像#】“我梦见水稻长得比高粱还高，穗子比扫帚还长，我和同事坐在稻穗下乘凉”“我梦见穗子沉甸甸的，子粒接近花生米那么大”……这是袁老做过的两个幸福的梦。他的愿望非常朴实：“想培育出高产量品种，为提高粮食产量做一点贡献”↓↓缅怀！致敬！L央视新闻的微博视频  ,0,0,1,0
萍乡安源发布,06月19日16:04,来自iPhone客户端, 【重温，泪流满面#袁隆平讲禾下乘凉梦的珍贵影像#】“我梦见水稻长得比高粱还高，穗子比扫帚还长，我和同事坐在稻穗下乘凉”“我梦见穗子沉甸甸的，子粒接近花生米那么大”……这是袁老做过的两个幸福的梦。他的愿望非常朴实：“想培育出高产量品种，为提高粮食产量做一点贡献”↓↓缅怀！致敬！,0,0,1,0
合肥反邪教,06月19日16:01,来自微博视频号, 【重温，泪流满面#袁隆平讲禾下乘凉梦的珍贵影像#】“我梦见水稻长得比高粱还高，穗子比扫帚还长，我和同事坐在稻穗下乘凉”“我梦见穗子沉甸甸的，子粒接近花生米那么大”……这是袁老做过的两个幸福的梦。他的愿望非常朴实：“想培育出高产量品种，为提高粮食产量做一点贡献”↓↓缅怀！致敬！（央视新闻）L央视新闻的微博视频  ,0,0,2,0
李庄古镇,06月19日22:39,来自微博视频号, 【重温，泪流满面#袁隆平讲禾下乘凉梦的珍贵影像#】“我梦见水稻长得比高粱还高，穗子比扫帚还长，我和同事坐在稻穗下乘凉”“我梦见穗子沉甸甸的，籽粒接近花生米那么大”……这是袁老做过的两个幸福的梦。他的愿望非常朴实：“想培育出高产量品种，为提高粮食产量做一点贡献”↓↓缅怀！致敬！L央视新闻的微博视频  ,0,0,0,0
北京政法,06月19日22:30,来自微博视频号, #晚安#“我梦见水稻长得比高粱还高，穗子比扫帚还长，我和同事坐在稻穗下乘凉”“我梦见穗子沉甸甸的，子粒接近花生米那么大”……这是袁老做过的两个幸福的梦。他的愿望非常朴实：“想培育出高产量品种，为提高粮食产量做一点贡献”↓↓缅怀！致敬！L央视新闻的微博视频#袁隆平讲禾下乘凉梦的珍贵影像#@央视新闻  ,0,2,4,8
新民周刊,06月19日22:17,来自微博视频号, 【重温，泪流满面#袁隆平讲禾下乘凉梦的珍贵影像#】“我梦见水稻长得比高粱还高，穗子比扫帚还长，我和同事坐在稻穗下乘凉”“我梦见穗子沉甸甸的，籽粒接近花生米那么大”……这是袁老做过的两个幸福的梦。他的愿望非常朴实：“想培育出高产量品种，为提高粮食产量做一点贡献”↓L央视新闻的微博视频​,0,4,0,12
龙口市人民检察院,06月19日22:16,来自微博视频号, 【重温，泪流满面#袁隆平讲禾下乘凉梦的珍贵影像#】“我梦见水稻长得比高粱还高，穗子比扫帚还长，我和同事坐在稻穗下乘凉”“我梦见穗子沉甸甸的，籽粒接近花生米那么大”……这是袁老做过的两个幸福的梦。他的愿望非常朴实：“想培育出高产量品种，为提高粮食产量做一点贡献”↓↓缅怀！致敬！#专题片敢教日月换新天#（央视新闻）L央视新闻的微博视频  ,0,21,0,10
宁局湛江火车站,06月19日22:15,来自微博视频号, 【重温，泪流满面#袁隆平讲禾下乘凉梦的珍贵影像#】“我梦见水稻长得比高粱还高，穗子比扫帚还长，我和同事坐在稻穗下乘凉”“我梦见穗子沉甸甸的，子粒接近花生米那么大”……这是袁老做过的两个幸福的梦。他的愿望非常朴实：“想培育出高产量品种，为提高粮食产量做一点贡献”↓↓缅怀！致敬！#专题片敢教日月换新天#L央视新闻的微博视频  ,0,0,0,0
巢湖检察,06月19日22:07,来自微博视频号, 【重温，泪流满面#袁隆平讲禾下乘凉梦的珍贵影像#】“我梦见水稻长得比高粱还高，穗子比扫帚还长，我和同事坐在稻穗下乘凉”“我梦见穗子沉甸甸的，子粒接近花生米那么大”……这是袁老做过的两个幸福的梦。他的愿望非常朴实：“想培育出高产量品种，为提高粮食产量做一点贡献”↓↓缅怀！致敬！#专题片敢教日月换新天#L央视新闻的微博视频（来源：长安皖韵）  ,0,0,0,1
青岛公安,06月19日22:00,来自微博视频号, 【重温，泪流满面#袁隆平讲禾下乘凉梦的珍贵影像#】“我梦见水稻长得比高粱还高，穗子比扫帚还长，我和同事坐在稻穗下乘凉”“我梦见穗子沉甸甸的，子粒接近花生米那么大”……这是袁老做过的两个幸福的梦。他的愿望非常朴实：“想培育出高产量品种，为提高粮食产量做一点贡献”↓↓缅怀！致敬！L央视新闻的微博视频  ,0,2,0,0
安庆政法,06月19日21:46,来自iPhone客户端, #袁隆平讲禾下乘凉梦的珍贵影像#,0,4,0,1
长沙发布,06月19日21:38,来自微博视频号, 【重温，泪流满面#袁隆平讲禾下乘凉梦的珍贵影像#】“我梦见水稻长得比高粱还高，穗子比扫帚还长，我和同事坐在稻穗下乘凉”“我梦见穗子沉甸甸的，子粒接近花生米那么大”……这是袁老做过的两个幸福的梦。他的愿望非常朴实：“想培育出高产量品种，为提高粮食产量做一点贡献”↓↓缅怀！致敬！L央视新闻的微博视频  ,0,0,0,1
家长课堂,06月19日21:30,来自iPhone客户端, 转发微博,0,0,0,0
南铁宜春车务段,06月19日21:29,来自微博视频号, #宜车微视角#【重温，泪流满面#袁隆平讲禾下乘凉梦的珍贵影像#】“我梦见水稻长得比高粱还高，穗子比扫帚还长，我和同事坐在稻穗下乘凉”“我梦见穗子沉甸甸的，子粒接近花生米那么大”……这是袁老做过的两个幸福的梦。他的愿望非常朴实：“想培育出高产量品种，为提高粮食产量做一点贡献”↓↓缅怀！致敬！#专题片敢教日月换新天#L央视新闻的微博视频  ,0,1,2,3
沈阳沈北公安,06月19日21:24,来自微博视频号, 【重温，泪流满面#袁隆平讲禾下乘凉梦的珍贵影像#】“我梦见水稻长得比高粱还高，穗子比扫帚还长，我和同事坐在稻穗下乘凉”“我梦见穗子沉甸甸的，子粒接近花生米那么大”……这是袁老做过的两个幸福的梦。他的愿望非常朴实：“想培育出高产量品种，为提高粮食产量做一点贡献”↓↓缅怀！致敬！L央视新闻的微博视频  ,0,0,0,2
池州反邪教,06月19日21:03,来自微博weibo.com, 重温，泪流满面#袁隆平讲禾下乘凉梦的珍贵影像#,0,0,0,0
汉南检察,06月19日21:00,来自Android, 【重温，泪流满面#袁隆平讲禾下乘凉梦的珍贵影像#】“我梦见水稻长得比高粱还高，穗子比扫帚还长，我和同事坐在稻穗下乘凉”“我梦见穗子沉甸甸的，子粒接近花生米那么大”……这是袁老做过的两个幸福的梦。他的愿望非常朴实：“想培育出高产量品种，为提高粮食产量做一点贡献”↓↓缅怀！致敬！L央视新闻的微博视频  ,0,4,2,8
相山区政法委,06月19日20:59,来自iPhone客户端, 重温，泪流满面#袁隆平讲禾下乘凉梦的珍贵影像#,0,0,0,0
柳北检察,06月19日20:58,来自iPhone客户端, 【重温，泪流满面#袁隆平讲禾下乘凉梦的珍贵影像#】“我梦见水稻长得比高粱还高，穗子比扫帚还长，我和同事坐在稻穗下乘凉”“我梦见穗子沉甸甸的，子粒接近花生米那么大”……这是袁老做过的两个幸福的梦。他的愿望非常朴实：“想培育出高产量品种，为提高粮食产量做一点贡献”↓↓缅怀！致敬！L央视新闻的微博视频  ,0,0,0,0
凯风霍邱,06月19日20:54,来自iPhone客户端, 重温，泪流满面#袁隆平讲禾下乘凉梦的珍贵影像#,0,0,0,0
民乐融媒体中心,06月19日20:48,来自微博视频号, 【重温，泪流满面#袁隆平讲禾下乘凉梦的珍贵影像#】“我梦见水稻长得比高粱还高，穗子比扫帚还长，我和同事坐在稻穗下乘凉”“我梦见穗子沉甸甸的，子粒接近花生米那么大”……这是袁老做过的两个幸福的梦。他的愿望非常朴实：“想培育出高产量品种，为提高粮食产量做一点贡献”↓↓缅怀！致敬！（来源：央视新闻）L央视新闻的微博视频  ,0,15,18,20
网易财经,06月19日20:32,来自微博视频号, 【重温#袁隆平讲禾下乘凉梦的珍贵影像#】6月19日，央视新闻发布袁隆平讲禾下乘凉梦的珍贵影像。他说：“我梦见水稻长得比高粱还高，穗子比扫帚还长，我和同事坐在稻穗下乘凉”。L七环视频的微博视频​,0,2,0,14
江宁发布,06月19日20:09,来自微博视频号, 【重温，泪流满面#袁隆平讲禾下乘凉梦的珍贵影像#】“我梦见水稻长得比高粱还高，穗子比扫帚还长，我和同事坐在稻穗下乘凉”“我梦见穗子沉甸甸的，子粒接近花生米那么大”……这是袁老做过的两个幸福的梦。他的愿望非常朴实：“想培育出高产量品种，为提高粮食产量做一点贡献”↓↓缅怀！致敬！#专题片敢教日月换新天#L央视新闻的微博视频  ,0,0,0,0
四川工人日报,06月19日20:00,来自微博视频号, 【重温，泪流满面#袁隆平讲禾下乘凉梦的珍贵影像#】“我梦见水稻长得比高粱还高，穗子比扫帚还长，我和同事坐在稻穗下乘凉”“我梦见穗子沉甸甸的，子粒接近花生米那么大”……这是袁老做过的两个幸福的梦。他的愿望非常朴实：“想培育出高产量品种，为提高粮食产量做一点贡献”↓↓缅怀！致敬！L央视新闻的微博视频  ,0,0,0,0
四川省崇州监狱,06月20日01:53,来自微博视频号, 【重温，泪流满面#袁隆平讲禾下乘凉梦的珍贵影像#】“我梦见水稻长得比高粱还高，穗子比扫帚还长，我和同事坐在稻穗下乘凉”“我梦见穗子沉甸甸的，籽粒接近花生米那么大”……这是袁老做过的两个幸福的梦。他的愿望非常朴实：“想培育出高产量品种，为提高粮食产量做一点贡献”↓↓缅怀！致敬！#专题片敢教日月换新天#L央视新闻的微博视频#张警官说狱事儿# #张警官分享#@四川监狱@法治四川  ,0,0,0,0
极目新闻,06月20日01:24,来自微博视频号, 【重温，泪流满面#袁隆平讲禾下乘凉梦的珍贵影像#】“我梦见水稻长得比高粱还高，穗子比扫帚还长，我和同事坐在稻穗下乘凉”“我梦见穗子沉甸甸的，子粒接近花生米那么大”……这是袁老做过的两个幸福的梦。他的愿望非常朴实：“想培育出高产量品种，为提高粮食产量做一点贡献”↓↓缅怀！致敬！#专题片敢教日月换新天#L央视新闻的微博视频  ,0,2,1,42
筠连发布,06月20日00:04,来自微博视频号, 【重温，泪流满面#袁隆平讲禾下乘凉梦的珍贵影像#】“我梦见水稻长得比高粱还高，穗子比扫帚还长，我和同事坐在稻穗下乘凉”“我梦见穗子沉甸甸的，子粒接近花生米那么大”……这是袁老做过的两个幸福的梦。他的愿望非常朴实：“想培育出高产量品种，为提高粮食产量做一点贡献”↓↓缅怀！致敬！#专题片敢教日月换新天#L央视新闻的微博视频  ,0,0,0,0
东南卫视,06月20日07:27,来自微博视频号, 【重温！泪目#袁隆平讲禾下乘凉梦的珍贵影像#】“我梦见水稻长得比高粱还高，穗子比扫帚还长，我和同事坐在稻穗下乘凉”“我梦见穗子沉甸甸的，子粒接近花生米那么大”……这是袁老做过的两个幸福的梦。他的愿望非常朴实：“想培育出高产量品种，为提高粮食产量做一点贡献”↓↓缅怀！致敬！#敢教日月换新天#L央视网的微博视频  ,0,0,0,2
首都广播电视,06月20日06:58,来自iPhone客户端, 转发微博,0,0,0,0
眉山天府新区,06月20日10:04,来自微博视频号, 【重温，泪流满面#袁隆平讲禾下乘凉梦的珍贵影像#】“我梦见水稻长得比高粱还高，穗子比扫帚还长，我和同事坐在稻穗下乘凉”“我梦见穗子沉甸甸的，籽粒接近花生米那么大”……这是袁老做过的两个幸福的梦。他的愿望非常朴实：“想培育出高产量品种，为提高粮食产量做一点贡献”↓↓缅怀！致敬！#专题片敢教日月换新天#L央视新闻的微博视频  ,0,0,0,0
河北广电,06月20日08:56,来自微博视频号, 【重温，泪流满面#袁隆平讲禾下乘凉梦的珍贵影像#】“我梦见水稻长得比高粱还高，穗子比扫帚还长，我和同事坐在稻穗下乘凉”“我梦见穗子沉甸甸的，子粒接近花生米那么大”……这是袁老做过的两个幸福的梦。他的愿望非常朴实：“想培育出高产量品种，为提高粮食产量做一点贡献”↓↓缅怀！致敬！#专题片敢教日月换新天#L央视新闻的微博视频  ,0,0,1,1
汉江网,06月20日15:58,来自iPhone客户端, #襄阳城事#【中考语文结束！袁隆平、天问一号……入考题】20日上午11点30分，九年级中考第一科——语文科目考试结束。多数考生反映，试题比较平和，做起来顺手，袁隆平、天问一号着陆火星、扶贫攻坚等进入考题。今年是中国共产党建党100周年。考生们介绍，试题中有与建党100周年有关的内容。有道题给出了三篇材料，涉及脱贫攻坚、南水北调等，要求写出体会。“综合性运用”中也提到了脱贫攻坚。阅读题中，有议论文、记叙文、说明文，其中，议论文内容是关于中国园林窗户的；记叙文是关于饭兜的，介绍的是原来北京学生上学自己带饭或者让家长送饭等内容。语文试题重视名著阅读，《骆驼祥子》《红星照耀中国》等名著出现在了试题中。跟去年一样，今年中考作文题依然是“二选一”，一个是命题作文《我在》；还有一个是阅读袁隆平爷爷的一段话，要求写一篇材料作文。给出的这段话大致为“人就像一粒种子。要做一粒好种子，身体、精神、情感都要健康……”采访中，不少考生表示自己选择了命题作文《我在》。“《我在》，我写的是自己在集体中发挥作用之类的。第二个主题不是很好把握，所以我没有选。”一位考生说。当然，也有的选择了材料作文，认为“贴近生活、有话说”。“语文试题跟往年一样，整体比较简单，但有些题目靠理解。”一位考生说，像记叙文、议论文最后一题都比较活。“考得比较简单，从头到尾都是见过的题型。”另一位考生说。“学的全会，蒙得也全对的那种。”谈到试题，一位女生笑着说。还有考生告诉记者：“题量跟平时训练的差不多。”来源：全媒体记者张丽  ,0,0,0,0
襄阳晚报,06月20日15:37,来自iPhone客户端, #襄阳城事#【中考语文结束！袁隆平、天问一号……入考题】20日上午11点30分，九年级中考第一科——语文科目考试结束。多数考生反映，试题比较平和，做起来顺手，袁隆平、天问一号着陆火星、扶贫攻坚等进入考题。今年是中国共产党建党100周年。考生们介绍，试题中有与建党100周年有关的内容。有道题给出了三篇材料，涉及脱贫攻坚、南水北调等，要求写出体会。“综合性运用”中也提到了脱贫攻坚。阅读题中，有议论文、记叙文、说明文，其中，议论文内容是关于中国园林窗户的；记叙文是关于饭兜的，介绍的是原来北京学生上学自己带饭或者让家长送饭等内容。语文试题重视名著阅读，《骆驼祥子》《红星照耀中国》等名著出现在了试题中。跟去年一样，今年中考作文题依然是“二选一”，一个是命题作文《我在》；还有一个是阅读袁隆平爷爷的一段话，要求写一篇材料作文。给出的这段话大致为“人就像一粒种子。要做一粒好种子，身体、精神、情感都要健康……”采访中，不少考生表示自己选择了命题作文《我在》。“《我在》，我写的是自己在集体中发挥作用之类的。第二个主题不是很好把握，所以我没有选。”一位考生说。当然，也有的选择了材料作文，认为“贴近生活、有话说”。“语文试题跟往年一样，整体比较简单，但有些题目靠理解。”一位考生说，像记叙文、议论文最后一题都比较活。“考得比较简单，从头到尾都是见过的题型。”另一位考生说。“学的全会，蒙得也全对的那种。”谈到试题，一位女生笑着说。还有考生告诉记者：“题量跟平时训练的差不多。”来源：全媒体记者张丽  ,0,0,0,4
内蒙古日报,06月20日15:33,来自iPhone客户端, 【袁隆平儿子袁定阳发布二期“袁梦计划”:“十四五“期间在兴安盟种植耐盐碱水稻20万亩】守护中国饭碗，接力父亲梦想。6月18日，袁定阳和10名从事数字农业的青年来到兴安盟袁隆平院士工作站，开展了“袁梦计划”二期发布会:计划在“十四五”期间在兴安盟的盐碱地上种植耐盐碱水稻20万亩，帮助当地水稻种植户实现收入翻番。“袁梦计划”是由袁隆平发起，袁定阳接力父亲梦想。2020年1月13日，袁隆平在三亚发布“袁梦计划”，在盐碱地上种水稻。这一技术既可改良盐碱地和沙漠地区的生态环境，又可为沙漠地区的人口解决口粮问题，并实现种植户收入翻番。2019年，袁隆平院士工作站在兴安盟科右中旗盐碱地水稻种植基地种植的水稻，平均亩产达508.8公斤，超过了袁隆平提出的盐碱地亩产300公斤以上的目标。在“袁梦计划”二期发布会上，谷绿科技CEO、钉钉数字化管理师姜章表示会通过数字赋能助力“袁梦计划”，加速完成兴安盟种植耐盐碱水稻20万亩改造，不仅让寸草不生的盐碱地变成现代化的科技农场，还要通过数字赋能提升兴安盟大米销售效率，早日实现当地水稻种植户实现收入翻番。（内蒙古日报社融媒体记者胡日查高敏娜）  ,0,2,0,8
江苏发展大会,06月20日15:31,来自微博weibo.com, 【#袁隆平团队耐盐新水稻在江苏移栽完毕#】海水稻，是能种在盐碱地上的水稻。眼下，在江苏南通如东县栟茶方凌垦区，袁隆平院士团队的3个耐盐水稻新品种，已经全部移栽结束。这三种新的“海水稻”口味更接近优质粳米，预计今年亩产能达到850公斤。#袁隆平亿亩荒滩变良田的梦想正在实现#！O继续向“亿亩荒滩变良田”迈进！袁隆平院士团队耐盐水稻新品种在江苏  ,0,0,0,0
我苏特稿,06月20日15:31,来自微博weibo.com, 【#袁隆平团队耐盐新水稻在江苏移栽完毕#】海水稻，是能种在盐碱地上的水稻。眼下，在江苏南通如东县栟茶方凌垦区，袁隆平院士团队的3个耐盐水稻新品种，已经全部移栽结束。这三种新的“海水稻”口味更接近优质粳米，预计今年亩产能达到850公斤。#袁隆平亿亩荒滩变良田的梦想正在实现#！O继续向“亿亩荒滩变良田”迈进！袁隆平院士团队耐盐水稻新品种在江苏  ,0,23,20,131
FM104襄阳之声,06月20日13:57,来自微博视频号, #2021襄阳中考开考#【中考第一门语文考试结束！同学们这样说……】考生们普遍反映，今年语文试题平和，学生们做起来顺手。试题中出现建党百年、脱贫攻坚、南水北调、祝融号等等，袁隆平爷爷的一段话出现在作文材料中。（全媒体记者：姚霖婕刘向）LFM104襄阳之声的微博视频​,0,1,3,18
